date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:52	96764/96764	---M-Z	200	added ('OK')	text/html	etag:%22179fc-602e30d91d9cc-gzip%22	https://shreethemes.in/techwind/dashboard/index.html	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/index.html	(from )
21:54:54	277/277	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Nov%202023%2014:54:49%20GMT	https://shreethemes.in/robots.txt		(from )
21:54:54	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223c2e-602e30d8c3c46%22	https://shreethemes.in/techwind/dashboard/assets/images/favicon.ico	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/assets/images/favicon.ico	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:54	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-602e30d91aaec-gzip%22	https://shreethemes.in/techwind/dashboard/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:55	2950/2950	---M-Z	200	added ('OK')	text/css	etag:%22b86-602e30d91aaec-gzip%22	https://shreethemes.in/techwind/dashboard/assets/libs/simplebar/simplebar.min.css	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/assets/libs/simplebar/simplebar.min.css	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:55	66419/66419	---M-Z	200	added ('OK')	text/css	etag:%2210373-602e30d8d6528-gzip%22	https://shreethemes.in/techwind/dashboard/assets/libs/@iconscout/unicons/css/line.css	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/assets/libs/@iconscout/unicons/css/line.css	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:55	339252/339252	---M-Z	200	added ('OK')	text/css	etag:%2252d34-602e30d90dfcb-gzip%22	https://shreethemes.in/techwind/dashboard/assets/libs/@mdi/font/css/materialdesignicons.min.css	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/assets/libs/@mdi/font/css/materialdesignicons.min.css	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:55	108836/108836	---M-Z	200	added ('OK')	text/css	etag:%221a924-602e30d8a38a4-gzip%22	https://shreethemes.in/techwind/dashboard/assets/css/tailwind.min.css	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/assets/css/tailwind.min.css	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:55	3011/3011	---M--	200	added ('OK')	image/png	etag:%22bc3-602e30d8c4be6%22	https://shreethemes.in/techwind/dashboard/assets/images/logo-light.png	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/assets/images/logo-light.png	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:55	96763/96763	---M-Z	200	added ('OK')	text/html	etag:%22179fb-602e30d91d9cc-gzip%22	https://shreethemes.in/techwind/dashboard/index-dark.html	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/index-dark.html	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:56	96764/96764	---M-Z	200	added ('OK')	text/html	etag:%22179fc-602e30d91d9cc-gzip%22	https://shreethemes.in/techwind/dashboard/index-rtl.html	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/index-rtl.html	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:56	97038/97038	---M-Z	200	added ('OK')	text/html	etag:%2217b0e-602e30d91d9cc-gzip%22	https://shreethemes.in/techwind/dashboard/index-sidebar-light.html	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/index-sidebar-light.html	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:56	96763/96763	---M-Z	200	added ('OK')	text/html	etag:%22179fb-602e30d91d9cc-gzip%22	https://shreethemes.in/techwind/dashboard/index-dark-rtl.html	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/index-dark-rtl.html	(from https://shreethemes.in/techwind/dashboard/index.html)
21:54:56	96754/96754	---M-Z	200	added ('OK')	text/html	etag:%22179f2-602e30d91d9cc-gzip%22	https://shreethemes.in/techwind/dashboard/index-sidebar-colored.html	C:/My%20Web%20Sites/WEB_ban_hang/shreethemes.in/techwind/dashboard/index-sidebar-colored.html	(from https://shreethemes.in/techwind/dashboard/index.html)
